bildid	bil_landing_page	contributor	affiliation	award_number	project	consortium	bildirectory	generalmodality	technique	species	taxonomy	genotype	samplelocalid	size	pretty_size	number_of_files	file_types	frequencies
ace-bet-row	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-row	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/f0/14/f014ec83976b3b25	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210209_CJLoreleai_Ex12_S1_Lamp5+_RXFP1-_Hippo-Region 103	3760140842	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.txt': 1, '.tiff': 1, '.swc': 1}"
ace-bet-rub	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-rub	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/51/88/518863a214bb1be7	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210209_CJLoreleai_Ex12_S1_Lamp5+_RXFP1-_Hippo-Region 096	3760113369	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.txt': 1, '.swc': 1, '.tiff': 1}"
ace-bet-rug	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-rug	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/97/8b/978b48eaf2732715	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210209_CJLoreleai_Ex12_S1_Lamp5+_RXFP1-_Hippo-Region 098	3760089594	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.txt': 1, '.tiff': 1, '.swc': 1}"
ace-bet-shy	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-shy	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/72/56/72564cfe61ae65dd	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Hippocampus 20210121_CJLoreleai_Ex11_S3_VIP+DIRAS-_Hippo-Region 043	3760313510	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.txt': 1, '.swc': 1, '.tiff': 1}"
ace-bet-sit	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-sit	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/5a/9b/5a9b010a664e8640	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210121_CJLoreleai_Ex11_S3_VIP+DIRAS-_Hippo-Region 058	3760300623	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.txt': 1, '.swc': 1, '.tiff': 1}"
ace-bet-ran	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-ran	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/6e/51/6e514036c53f828e	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210302_CJLoreleai_Ex13_S3_Lamp5+_NDNF+_Hippo-Region 046	3759462180	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.tiff': 1, '.txt': 1, '.swc': 1}"
ace-bet-put	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-put	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/55/ad/55ad03e4a7e4599a	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Hippocampus 20210302_CJLoreleai_Ex13_S3_Lamp5+_NDNF+_Hippo-Region 037	3759450609	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.tiff': 1, '.txt': 1, '.swc': 1}"
ace-bet-tie	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-tie	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/26/47/26477cde26f61f7c	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	 Cortex 20210714_CJYanma_Ex17_S9_VIP+_PDE3A-_Hippo-Region 055	3758980053	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.txt': 1, '.tiff': 1, '.swc': 1}"
ace-bet-tug	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-tug	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/50/00/500042978fab9d11	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210728_CJLoreleai_EX18_S3_VIP-_SPP1+-Region 053	3758673568	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.txt': 1, '.tiff': 1, '.swc': 1}"
ace-bog-run	https://api.brainimagelibrary.org/web/view?bildid=ace-bog-run	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/b2/47/b247f8a71d3c2999	cell morphology	smFISH	marmoset	NCBI:txid9483	NA	Striatum 20210728_CJLoreleai_EX18_S3_VIP+SPP1+_Region 069	3758722857	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.txt': 1, '.swc': 1, '.tiff': 1}"
ace-bog-own	https://api.brainimagelibrary.org/web/view?bildid=ace-bog-own	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/08/8e/088ec0d5ccb2fa1d/	cell morphology	smFISH	marmoset	NCBI:txid9483		Cortex 20210209_CJLoreleai_Ex12_S1_Lamp5+_RXFP1-_Hippo-Region 012	3760100271	3.5G	448	"{'images': 446, 'other': 1, 'tracing': 1}"	"{'.tif': 445, '.tiff': 1, '.txt': 1, '.swc': 1}"
ace-bet-wet	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-wet	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/7b/d3/7bd33f5cf9593d3c	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Visual Cortex 20210804_CJLoreleai_Ex18_S4_VIP+_DIRAS--Region 073	3758414975	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-who	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-who	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/3a/cc/3acc58bd163128ee	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Visual Cortex 20210804_CJLoreleai_Ex18_S4_VIP+_DIRAS--Region 078	3758416197	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.tiff': 1, '.swc': 1, '.txt': 1}"
ace-bet-wit	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-wit	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/c5/09/c509c8b7a617c173	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Visual Cortex 20210803_CJLoreleai_Ex18_S2_VIP-_CRH+-Region 096	3758459081	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bet-zoo	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-zoo	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/d8/a3/d8a39c8088e4897d	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210721_CJLoreleai_Ex17_S16_PVALB+_THSD7A+_Hippo-Region 026	3759136888	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-all	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-all	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/4c/aa/4caa5f0fce5ebcec	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210721_CJLoreleai_Ex17_S16_PVALB+_THSD7A+_Hippo-Region 055	3759120945	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.tiff': 1, '.swc': 1, '.txt': 1}"
ace-bet-van	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-van	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/06/02/06024b37df98fa08	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Visual Cortex 20210728_CJLoreleai_EX18_S3_VIP-_SPP1+-Region 112	3758458983	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-vat	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-vat	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/4c/dd/4cddeeb55b236c76	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210728_CJLoreleai_EX18_S3_VIP+_SPP1--Region 054	3758680339	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-vex	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-vex	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/4e/50/4e50f939b8d549bc	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210728_CJLoreleai_EX18_S3_VIP+_SPP1--Region 102	3758486030	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bet-wag	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-wag	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/d9/bb/d9bbaaa895bb4f99	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210802_CJLoreleai_Ex18_S1_VIP+_PTGFR+-Region 030	3758681560	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.tiff': 1, '.swc': 1, '.txt': 1}"
ace-bet-war	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-war	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/10/04/100453e4b13fa4c3	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210802_CJLoreleai_Ex18_S1_VIP+_PTGFR--Region 038	3758673226	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-wax	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-wax	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/47/ec/47ec141fecdb2613	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210804_CJLoreleai_Ex18_S4_VIP+_DIRAS--Region 064	3758590140	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-web	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-web	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/87/2a/872ac07629ac63f3	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Visual Cortex 20210804_CJLoreleai_Ex18_S4_VIP+_DIRAS--Region 072	3758408249	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bet-vow	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-vow	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/09/79/0979f6f13aa0a93d	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210802_CJLoreleai_Ex18_S1_VIP+_PTGFR+-Region 029	3758684338	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bid-ace	https://api.brainimagelibrary.org/web/view?bildid=ace-bid-ace	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/d6/7c/d67cdefba08fa889	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210721_CJLoreleai_Ex17_S16_PVALB+_THSD7A-_Hippo-Region 064	3759142942	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bid-act	https://api.brainimagelibrary.org/web/view?bildid=ace-bid-act	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/98/51/98513d30a768d88d	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210721_CJLoreleai_Ex17_S16_PVALB+_THSD7A-_Hippo-Region 078	3759113807	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-rat	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-rat	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/5b/01/5b01a57c91997945	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210302_CJLoreleai_Ex13_S3_Lamp5+_NDNF+_Hippo-Region 086	3759436232	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.tiff': 1, '.swc': 1, '.txt': 1}"
ace-bet-red	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-red	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/a3/78/a378a612a104daa8	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210302_CJLoreleai_Ex13_S3_Lamp5+_NDNF-_Hippo-Region 023	3759449987	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-rid	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-rid	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/25/9b/259bb346761fcdae/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210209_CJLoreleai_Ex12_S1_Lamp5+RXFP1+_Hippo-Region 105	3760135426	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.tiff': 1, '.swc': 1, '.txt': 1}"
ace-bet-rig	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-rig	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/ac/e1/ace1ab7588173843	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210209_CJLoreleai_Ex12_S1_Lamp5+_RXFP1-_Hippo-Region 008	3760101341	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-set	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-set	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/b7/25/b725ae9d10c592e3	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Hippocampus 20210121_CJLoreleai_Ex11_S3_VIP+DIRAS-_Hippo-Region 036	3760281103	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.tiff': 1, '.swc': 1, '.txt': 1}"
ace-bet-sip	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-sip	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/6c/d5/6cd525c9c405941c	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210121_CJLoreleai_Ex11_S3_VIP+DIRAS-_Hippo-Region 057	3760229413	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bet-soy	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-soy	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/93/0d/930da80ad0342691	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210121_CJLoreleai_Ex11_S4_VIP+LYPD1+_Hippo-Region 006	3759797103	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-rag	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-rag	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/89/e1/89e15cd251280161/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210302_CJLoreleai_Ex13_S3_Lamp5+_NDNF+_Hippo-Region 042	3759454784	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bet-pup	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-pup	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/72/24/722401149953c30d	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210302_CJLoreleai_Ex13_S3_Lamp5+NDNF+_Hippo-Region 055	3759473629	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.tiff': 1, '.swc': 1, '.txt': 1}"
ace-bet-spa	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-spa	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/eb/8d/eb8d3f0906efef33	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210121_CJLoreleai_Ex11_S4_VIP+LYPD1+_Hippo-Region 040	3759820816	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bet-pun	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-pun	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/e4/fc/e4fcb968bc99c73a	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210302_CJLoreleai_Ex13_S3_Lamp5+NDNF+_Hippo-Region 029	3759450998	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-spy	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-spy	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/b7/6c/b76c8c87c4b95974	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210121_CJLoreleai_Ex11_S4_VIP+LYPD1+_Hippo_2ndhalf-Region 126	3759981671	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-tin	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-tin	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/54/8f/548f03c09b3e69eb	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210714_CJYanma_Ex17_S9_VIP+_PDE3A-_Hippo-Region 058	3759010430	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bet-try	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-try	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/63/c4/63c480299a7543f0	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210728_CJLoreleai_EX18_S3_VIP-_SPP1+-Region 016	3758680830	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bet-tub	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-tub	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/7c/69/7c69cc260445ae72	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210728_CJLoreleai_EX18_S3_VIP-_SPP1+-Region 018	3758694275	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bog-rid	https://api.brainimagelibrary.org/web/view?bildid=ace-bog-rid	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/4c/ec/4cec0b858931b878/	cell morphology	smFISH	marmoset	NCBI:txid9483		Visual Cortex 20210803_CJLoreleai_Ex18_S2_VIP_CRH-Region 075	3758468474	3.5G	448	"{'images': 446, 'tracing': 1, 'other': 1}"	"{'.tif': 445, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bet-tag	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-tag	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/52/19/5219b9875ce01645	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210420_CJLoreleai_Ex14_S10_VIP+_PDE3A+_Hippo-Region 052	3758292780	3.5G	451	"{'images': 448, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 4, '.txt': 1, '.jpg': 1, '.swc': 1}"
ace-bet-tax	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-tax	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/d2/11/d2116284bfe0d53f/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210420_CJLoreleai_Ex14_S10_VIP-_PDE3A+_Hippo-Region 053	3758306587	3.5G	451	"{'images': 448, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 4, '.jpg': 1, '.txt': 1, '.swc': 1}"
ace-bet-the	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-the	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/39/96/3996faed3cade647	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210420_CJLoreleai_Ex14_S10_VIP-_PDE3A+_Hippo-Region 101	3758324627	3.5G	451	"{'images': 448, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 4, '.txt': 1, '.swc': 1, '.jpg': 1}"
ace-bet-tan	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-tan	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/05/93/0593d7ef24b9ae66	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210420_CJLoreleai_Ex14_S10_VIP+_PDE3A+_Hippo-Region 057	3758300168	3.5G	451	"{'images': 448, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 4, '.txt': 1, '.swc': 1, '.jpg': 1}"
ace-bet-tap	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-tap	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/1e/b7/1eb701dfad1b8986	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210420_CJLoreleai_Ex14_S10_VIP+_PDE3A+_Hippo-Region 062	3758298897	3.5G	451	"{'images': 448, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 4, '.swc': 1, '.jpg': 1, '.txt': 1}"
ace-bet-tar	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-tar	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/35/42/354276f2a849706c	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210420_CJLoreleai_Ex14_S10_VIP+_PDE3A+_Hippo-Region 098	3758300969	3.5G	451	"{'images': 448, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 4, '.txt': 1, '.swc': 1, '.jpg': 1}"
